Date,Away Team,Home Team,Away Score,Home Score,Total
2025-04-08,MIA,NYM,5,10,15
2025-04-08,STL,PIT,5,3,8
2025-04-08,LAD,WSH,2,8,10
2025-04-08,TOR,BOS,6,1,7
2025-04-08,LAA,TB,4,3,7
2025-04-08,PHI,ATL,5,7,12
2025-04-08,MIN,KC,1,2,3
2025-04-08,TEX,CHC,6,10,16
2025-04-08,MIL,COL,7,1,8
2025-04-08,BAL,ARI,3,4,7
2025-04-08,HOU,SEA,2,1,3
2025-04-08,CIN,SF,1,0,1
2025-04-08,SD,ATH,4,10,14
