timestamp,team1,team2,favorite_team,spread_line,total_line,total_side,moneyline_fav
2025-04-08 11:18:45,NY Yankees,DET Tigers,DET Tigers,-1.5,7.5,O,
2025-04-08 11:18:45,MIA Marlins,NY Mets,NY Mets,-1.5,7.0,O,
2025-04-08 11:18:45,CHI White Sox,CLE Guardians,CLE Guardians,-1.5,7.5,O,
2025-04-08 11:18:45,STL Cardinals,PIT Pirates,PIT Pirates,-1.5,6.5,O,
2025-04-08 11:18:45,LA Dodgers,WAS Nationals,LA Dodgers,-1.5,9.0,O,
2025-04-08 11:18:45,TOR Blue Jays,BOS Red Sox,BOS Red Sox,-1.5,8.0,O,
2025-04-08 11:18:45,LA Angels,TB Rays,TB Rays,-1.5,8.5,O,
2025-04-08 11:18:45,PHI Phillies,ATL Braves,PHI Phillies,-1.5,7.0,O,
2025-04-08 11:18:45,MIN Twins,KC Royals,MIN Twins,-1.5,7.5,O,
2025-04-08 11:18:45,TEX Rangers,CHI Cubs,CHI Cubs,-1.5,8.0,O,
2025-04-08 11:18:45,MIL Brewers,COL Rockies,MIL Brewers,-1.5,9.5,O,
2025-04-08 11:18:45,BAL Orioles,ARI Diamondbacks,BAL Orioles,-1.5,9.5,O,
2025-04-08 11:18:45,HOU Astros,SEA Mariners,HOU Astros,-1.5,7.0,O,
2025-04-08 11:18:45,CIN Reds,SF Giants,SF Giants,-1.5,7.5,O,
2025-04-08 11:18:45,SD Padres,Athletics,SD Padres,-1.5,8.5,O,
