GameDate,HomeTeam,AwayTeam,OpeningHomeMoneyLine,OpeningAwayMoneyLine
2025-03-29,CHW,LAA,71,-85,0.4,-63,52,2.2,-60,-55
2025-03-29,STL,MIN,-56,-59,0.4,-94,78,2.1,-58,-58
2025-03-29,TOR,BAL,-65,55,-0.8,84,-100,2.3,-59,-56
2025-03-29,WSH,PHI,68,-81,0.4,-68,58,2.5,-56,-59
2025-03-29,TB,COL,-104,86,-0.8,58,-68,2.3,52,-63
2025-03-29,MIA,PIT,58,-68,0.4,-85,71,2.3,-62,-53
2025-03-29,CIN,SF,-63,52,0.4,-104,86,2.3,-60,-55
2025-03-29,KC,CLE,-63,52,0.4,-100,84,2.5,52,-63
2025-03-29,TEX,BOS,-60,-55,0.4,-97,81,2.5,-55,-60
2025-03-29,HOU,NYM,-65,55,-0.8,89,-107,2.3,-63,52
2025-03-29,SD,ATL,68,-81,0.4,-68,58,2.2,-56,-59
2025-03-29,ARI,CHC,-64,53,0.4,-104,86,2.5,-55,-60
2025-03-29,LAD,DET,-107,89,-0.8,53,-64,2.1,-55,-60
2025-03-29,SEA,ATH,-94,78,-0.8,68,-81,1.9,-59,-56
2025-03-30,NYY,MIL,-216,181,-2.2,212,-256,12.4,-158,-164
2025-03-30,WSH,PHI,175,-207,3.2,-197,167,13.1,-153,-168
2025-03-30,TOR,BAL,-197,167,-2.2,219,-263,13.1,146,-175
2025-03-30,TB,COL,-289,240,-2.2,175,-207,11.0,-168,-153
2025-03-30,MIA,PIT,-183,153,-2.2,248,-300,11.0,-172,-149
2025-03-30,CIN,SF,-153,-168,3.2,-237,199,11.7,-168,-153
2025-03-30,CHW,LAA,153,-183,3.2,-226,190,12.4,-158,-164
2025-03-30,KC,CLE,-168,-153,3.2,-289,240,10.2,-168,-153
2025-03-30,STL,MIN,-158,-164,3.2,-263,219,12.4,-149,-172
2025-03-30,TEX,BOS,-237,199,-2.2,190,-226,11.0,-153,-168
2025-03-30,ARI,CHC,-178,149,3.2,-289,240,13.1,-153,-168
2025-03-30,SEA,ATH,-270,225,-2.2,181,-216,11.0,149,-178
2025-03-30,SD,ATL,-190,161,-2.2,234,-281,11.7,-164,-158
2025-03-31,CHW,MIN,111,-134,0.7,-71,-78,3.2,-83,69
2025-03-31,MIL,KC,-81,68,0.7,-130,108,3.9,-78,-71
2025-03-31,BAL,BOS,-96,81,-1.0,92,-110,4.4,-76,-73
2025-03-31,PHI,COL,-220,176,-1.0,-100,84,4.1,-71,-78
2025-03-31,MIA,NYM,108,-130,0.7,-71,-78,3.9,-80,-69
2025-03-31,CIN,TEX,68,-81,0.7,-105,88,4.1,68,-81
2025-03-31,TB,PIT,-122,102,-1.0,77,-91,3.7,-80,-69
2025-03-31,TOR,WSH,-118,98,-1.0,81,-96,3.9,-76,-73
2025-03-31,STL,LAA,-112,95,-1.0,88,-105,3.7,-71,-78
2025-03-31,HOU,SF,-91,77,-1.0,111,-134,3.7,-71,-78
2025-03-31,SD,CLE,-91,77,-1.0,104,-125,3.4,-78,-71
2025-03-31,SEA,DET,-83,69,-1.0,115,-139,3.2,-78,-71
2025-03-31,ATH,CHC,84,-100,0.7,-88,74,3.9,-78,-71
2025-03-31,LAD,ATL,-152,125,-1.0,-78,-71,3.7,-69,-80
2025-04-01,MIA,NYM,93,-111,0.8,-97,82,3.8,-82,-75
2025-04-01,CIN,TEX,93,-111,0.8,-93,79,4.3,-80,-77
2025-04-01,TB,PIT,-119,100,-1.1,89,-106,4.6,-73,-84
2025-04-01,NYY,ARI,75,-89,0.8,-116,97,4.3,-75,-82
2025-04-01,TOR,WSH,-116,97,-1.1,93,-111,4.3,-82,-75
2025-04-01,CHW,MIN,100,-119,0.8,-93,79,3.8,73,-87
2025-04-01,MIL,KC,-89,75,-1.1,117,-142,4.3,-82,-75
2025-04-01,STL,LAA,-102,86,-1.1,104,-125,4.1,-80,-77
2025-04-01,HOU,SF,82,-97,0.8,-106,89,4.1,-80,-77
2025-04-01,SD,CLE,-129,107,-1.1,89,-106,3.8,-73,-84
2025-04-01,SEA,DET,-125,104,-1.1,97,-116,3.3,-89,75
2025-04-01,ATH,CHC,79,-93,0.8,-111,93,4.1,-75,-82
2025-04-01,LAD,ATL,-93,79,-1.1,110,-132,3.8,-73,-84
2025-04-02,CIN,TEX,-202,171,-2.2,231,-277,12.7,-168,-162
2025-04-02,TB,PIT,-157,-172,3.4,-277,231,10.5,-172,-157
2025-04-02,MIL,KC,-187,157,3.4,-307,255,11.2,-172,-157
2025-04-02,STL,LAA,-232,195,-2.2,210,-249,12.7,-168,-162
2025-04-02,CHW,MIN,246,-297,3.4,-165,-165,10.5,-177,-153
2025-04-02,TOR,WSH,-168,-162,3.4,-277,231,12.0,-177,-153
2025-04-02,ATH,CHC,-177,-153,3.4,-277,231,12.7,-162,-168
2025-04-02,HOU,SF,-262,217,-2.2,180,-213,11.2,153,-183
2025-04-02,SD,CLE,-277,231,-2.2,180,-213,11.2,-172,-157
2025-04-02,SEA,DET,157,-187,3.4,-270,225,14.6,-153,-177
2025-04-02,MIA,NYM,270,-327,3.4,165,-195,12.7,-168,-162
2025-04-02,BAL,BOS,165,-195,3.4,-243,204,11.2,-172,-157
2025-04-02,PHI,COL,-487,389,-2.2,-195,165,10.5,-172,-157
2025-04-02,NYY,ARI,-222,186,-2.2,213,-255,12.0,-153,-177
2025-04-02,LAD,ATL,-345,285,-2.2,-183,153,12.0,-177,-153
2025-04-03,BAL,BOS,-98,82,-1.2,125,-150,5.8,-80,-92
2025-04-03,PHI,COL,-176,145,-1.2,-98,82,6.1,-84,-88
2025-04-03,MIN,HOU,-111,94,-1.2,128,-155,4.3,-90,78
2025-04-03,NYY,ARI,-111,94,-1.2,111,-133,5.8,78,-94
2025-04-03,MIL,CIN,-94,78,0.9,-150,125,4.9,-88,-84
2025-04-04,DET,CHW,-343,279,-1.9,-156,130,11.8,-153,-132
2025-04-04,BOS,STL,-158,132,2.5,-249,207,12.3,-143,-143
2025-04-04,CHC,SD,-215,181,-1.9,181,-215,11.8,-140,-145
2025-04-04,NYM,TOR,-184,156,-1.9,200,-240,12.6,-140,-145
2025-04-04,COL,ATH,-136,-149,2.5,-215,181,11.7,-140,-145
2025-04-04,PIT,NYY,194,-233,2.5,-149,-136,12.6,-149,-136
2025-04-04,SF,SEA,-192,161,-1.9,194,-233,10.4,-132,-153
2025-04-04,WSH,ARI,176,-210,2.5,-162,136,11.0,-136,-149
